"","X","word","counts","aveScore"
"595",1936,"everyday",36,1.3875
"596",2789,"hero",36,2.35998275862069
"597",2866,"room",36,2.15514583333333
"598",2881,"san",36,1.55539830508475
"599",4502,"burning",36,1.92447222222222
"600",22,"joy",35,1.93713461538462
"601",130,"mister",35,1.78391666666667
"602",251,"window",35,1.42817073170732
"603",721,"seen",35,2.10022222222222
"604",1092,"matter",35,1.83634042553191
"605",1545,"moment",35,2.12735555555556
"606",1835,"shout",35,2.08714285714286
"607",1904,"doo",35,1.69204794520548
"608",2197,"smoke",35,2.11457894736842
"609",2303,"brother",35,1.47557777777778
"610",3598,"quando",35,0.60256
"611",266,"X3",34,NA
"612",325,"anyone",34,1.14444117647059
"613",410,"does",34,1.73431034482759
"614",437,"lay",34,1.78172395833333
"615",501,"then",34,1.66547368421053
"616",557,"hell",34,1.51283018867925
"617",591,"whole",34,2.41338235294118
"618",614,"wheel",34,1.53196428571429
"619",630,"closer",34,1.5645
"620",781,"shoes",34,1.24637142857143
"621",1017,"uncle",34,0.929205882352941
"622",1105,"louis",34,0.893403225806452
"623",1189,"goin",34,1.29230344827586
"624",1249,"sixteen",34,2.73726470588235
"625",1279,"lie",34,1.68639301310044
"626",1322,"grow",34,1.15757894736842
"627",1391,"stardust",34,1.35720588235294
"628",1463,"affair",34,1.69055882352941
"629",1570,"upon",34,1.01902777777778
"630",2058,"bout",34,1.52417525773196
"631",2289,"lovers",34,1.16320588235294
"632",3024,"london",34,0.809181818181818
"633",4986,"paris",34,1.17848571428571
"634",5986,"sexy",34,4.23125
"635",56,"mad",33,1.60918309859155
"636",84,"hit",33,1.96255102040816
"637",346,"reason",33,1.60922916666667
"638",435,"kisses",33,1.43436363636364
"639",439,"medley",33,0.70869696969697
"640",906,"ti",33,1.56234011151197
"641",983,"lord",33,1.87670454545455
"642",1358,"lee",33,1.56343617021277
"643",1428,"behind",33,1.67942424242424
"644",1568,"listen",33,1.57062857142857
"645",1824,"west",33,2.19216279069767
"646",2371,"rhapsody",33,2.10512121212121
"647",2798,"hurts",33,1.52912121212121
"648",67,"wanted",32,1.49271875
"649",350,"earth",32,2.04472222222222
"650",646,"isn.t",32,1.08125
"651",649,"knock",32,1.97354237288136
"652",786,"fever",32,1.76478125
"653",893,"orleans",32,1.73171875
"654",992,"box",32,1.51502040816327
"655",997,"walkin",32,1.88856989247312
"656",1116,"worry",32,1.472
"657",1169,"hallelujah",32,1.19475
"658",1289,"spanish",32,1.2619375
"659",1666,"cross",32,1.14019298245614
"660",1674,"hair",32,1.32854838709677
"661",1875,"calling",32,1.452875
"662",2243,"das",32,1.10081818181818
"663",2444,"ghost",32,1.82129268292683
"664",3336,"fine",32,1.836675
"665",956,"eye",31,1.6624269005848
"666",1181,"sally",31,1.51734375
"667",1494,"moi",31,2.43388888888889
"668",1557,"whatever",31,2.00635483870968
"669",1684,"ask",31,1.31325490196078
"670",1762,"each",31,1.6764
"671",2027,"called",31,2.48458064516129
"672",2053,"everybody.s",31,1.75638235294118
"673",3685,"en",31,1.51449027514232
"674",4684,"um",31,1.50692167101828
"675",374,"X4",30,NA
"676",597,"wants",30,3.45883333333333
"677",725,"merry",30,0.999827586206896
"678",729,"broadway",30,1.47403225806452
"679",1076,"tango",30,1.6963
"680",1108,"guitar",30,1.40325714285714
"681",1135,"tired",30,1.60225
"682",1199,"lazy",30,1.29238709677419
"683",1261,"heard",30,1.81413333333333
"684",1378,"fantasy",30,1.6267
"685",1426,"hearted",30,1.6241875
"686",1559,"fools",30,1.43583333333333
"687",1819,"ballad",30,2.5708
"688",1837,"ich",30,1.56710687022901
"689",2004,"babe",30,1.86791428571429
"690",2361,"nothin",30,1.91444666666667
"691",2502,"sera",30,1.66475862068966
"692",2786,"romance",30,1.3689
"693",2820,"truly",30,1.81852173913043
"694",2969,"there.ll",30,1.57133333333333
"695",3715,"lies",30,1.34674509803922
"696",4163,"cha",30,1.52361003236246
"697",32,"surrender",29,1.66351724137931
"698",264,"ten",29,1.34731439393939
"699",309,"mia",29,1.90533962264151
"700",419,"year",29,1.43182407407407
"701",563,"highway",29,1.05455172413793
"702",710,"bay",29,1.69426086956522
"703",798,"glory",29,2.0287037037037
"704",1067,"gypsy",29,1.98953125
"705",1098,"blame",29,1.3941724137931
"706",1453,"welcome",29,1.57172413793103
"707",1594,"texas",29,1.91051724137931
"708",1597,"tiger",29,2.1144
"709",1737,"soldier",29,1.55325531914894
"710",1757,"getting",29,1.63548387096774
"711",1768,"memories",29,1.27058620689655
"712",1809,"wings",29,2.1268125
"713",2210,"winter",29,1.11605714285714
"714",2324,"pass",29,1.02512195121951
"715",2597,"luck",29,1.50030303030303
"716",2782,"sleepy",29,1.29537931034483
"717",2913,"stomp",29,1.06118421052632
"718",3170,"superstar",29,1.29275862068966
"719",5646,"ep",29,1.53711154345006
"720",339,"losing",28,1.6591
"721",637,"glad",28,1.214875
"722",1132,"happiness",28,1.47953571428571
"723",1496,"burn",28,1.53869736842105
"724",1507,"bridge",28,2.28876315789474
"725",1551,"ole",28,1.59213551401869
"726",2008,"comin",28,1.54115151515152
"727",2750,"breaking",28,1.81544827586207
"728",2796,"mexico",28,1.17846428571429
"729",2848,"weather",28,1.29803448275862
"730",3120,"keeps",28,1.64278571428571
"731",3387,"sound",28,2.26041463414634
"732",3676,"til",28,1.40342052980132
"733",129,"guilty",27,1.00185185185185
"734",415,"gimme",27,2.915
"735",533,"gun",27,1.2438275862069
"736",633,"learn",27,1.5245
"737",789,"ruby",27,1.87785185185185
"738",890,"mi",27,1.45205435847209
"739",947,"una",27,1.4639696969697
"740",982,"livin",27,2.16907058823529
"741",1040,"making",27,1.7232962962963
"742",1274,"cried",27,1.04903703703704
"743",1275,"started",27,2.99555555555556
"744",1759,"very",27,1.68097455968689
"745",1848,"o.clock",27,1.68288461538462
"746",1908,"dee",27,2.15421379310345
"747",1967,"holy",27,0.908048780487805
"748",2112,"business",27,1.18642307692308
"749",2198,"gets",27,2.02685714285714
"750",2205,"drive",27,2.01964444444444
"751",2256,"foolish",27,1.98020689655172
"752",2937,"eyed",27,1.13510714285714
"753",3293,"farewell",27,1.41240740740741
"754",3713,"monday",27,3.03242857142857
"755",3872,"louie",27,2.13705882352941
"756",3875,"breathe",27,2.62355555555556
"757",5286,"needs",27,0.916148148148148
"758",116,"temptation",26,1.03376923076923
"759",240,"men",26,1.33972340425532
"760",300,"ho",26,1.50020853858785
"761",844,"went",26,1.6324347826087
"762",1222,"sister",26,1.37002564102564
"763",1362,"miles",26,1.99791891891892
"764",1439,"tune",26,1.34571739130435
